Role,Company,location,duration,stripend
Full-Stack Development (Open Source Stack),TurnkeyAI,Work from home,6 Months,"5,000 - 10,000 /month"
icon profiles,Tutedude,Work from home,1 Month,"25,000 /month"
React Native,InnerHour,Mumbai,3 Months,"20,000 /month"
IT Admin,Scaler,Bangalore,3 Months,"20,000 /month"
MERN Development,Ziegler Aerospace,Hyderabad,6 Months,"5,000 /month"
Android App Development,Quantum IT Innovation,Work from home,6 Months,"10,000 - 15,000 /month"
Content Writing & Editing,Axe Consultancy And Security Services LLC,Work from home,6 Months,"4,000 - 5,000 /month"
Project Coordinator (IT),Quantum IT Innovation,Work from home,6 Months,"10,000 - 15,000 /month"
Content Creation (Cybersecurity),CipherSchools,Work from home,2 Months,"20,000 - 30,000 /month"
Web Development,Eduminatti,Work from home,2 Months,"5,000 - 10,000 /month"
WordPress Development,Quantum IT Innovation,Work from home,6 Months,"18,000 - 23,000 /month"
Software Testing,Quantum IT Innovation,Work from home,6 Months,"10,000 - 15,000 /month"
Business Analyst (BA IT Role),Quantum IT Innovation,Work from home,6 Months,"10,000 - 15,000 /month"
WordPress Development,Select Media Advertising & Events,Pune,3 Months,"5,000 /month"
Senior Gujarati Transcription QA Expert,Indiaum Solutions,Work from home,2 Months,"5,000 - 12,000 /month"
Gujarati Linguistic QA Specialist,Indiaum Solutions,Work from home,2 Months,"5,000 - 12,000 /month"
Gujarati Transcription Quality Analyst,Indiaum Solutions,Work from home,2 Months,"5,000 - 10,000 /month"
Front End Development,Quantum IT Innovation,Work from home,6 Months,"10,000 - 15,000 /month"
Flutter Development,Quantum IT Innovation,Work from home,6 Months,"10,000 - 15,000 /month"
PHP Development,Quantum IT Innovation,Work from home,6 Months,"10,000 - 15,000 /month"
Generative AI,Quantum IT Innovation,Work from home,6 Months,"10,000 - 15,000 /month"
App User Experience (for book lovers),A Box Of Stories,Work from home,2 Months,"7,000 /month"
Full Stack Development,Quantum IT Innovation,Work from home,6 Months,"10,000 - 15,000 /month"
Innovative Judiciary Prelims Quiz Maker,Lawtech,Work from home,3 Months,"6,000 - 8,000 /month"
Web Development,Cannibals Media Pvt. Ltd.,Work from home,6 Months,"3,000 /month"
iOS App Development,Quantum IT Innovation,Work from home,6 Months,"10,000 - 15,000 /month"
Subject Matter Expert (SME),CloudBird Digital Private Limited,Work from home,3 Months,"8,000 /month"
Artificial Neural Networks,Coding Junior,Work from home,6 Months,Unpaid
Python Development,Aadhvik Technologies,Work from home,1 Month,"1,000 - 2,000 /month"
Machine Learning,Aadhvik Technologies,Work from home,1 Month,"1,000 - 2,000 /month"
Product Management,Jinee Green Card,Work from home,2 Months,"15,000 /month"
Desktop App Developer,Infoware,Work from home,5 Months,"5,000-8,000 /month"
Product Management,EmendoAI,Work from home,6 Months,"30,000 /month"
Software Development,SimplerTechnologies,Work from home,4 Months,"7,000-20,000 /month"
Artificial Intelligence (AI),Political Sampark,Noida (Hybrid),3 Months,"10,000 /month"
Chrome Extension Developer,Digital Guruji,Work from home,2 Months,"5,000 /month"
Full Stack Developer,Gaincafe Technologies Private Limited,Jaipur,6 Months,"6,000 /month"
WordPress Development,Matrix International,Work from home,4 Months,"8,000 /month"
Mobile App Development,S1 SHIPLEE (OPC) PRIVATE LIMITED,Work from home,3 Months,"2,000 /month"
Mobile App Development,Genesis,Work from home,2 Months,"15,000-17,000 /month"
Full Stack Development,S1 SHIPLEE (OPC) PRIVATE LIMITED,Work from home,3 Months,"3,000 /month"
Web Development,Talant Cubicle HR Solution,Kolkata (Hybrid),2 Months,"4,000 /month"
Artificial Intelligence (AI),Matrix International,Work from home,3 Months,"12,000 /month"
Generative AI Engineering,RSVR Technlogies Private Limited,Work from home,6 Months,"10,000-20,000 /month"
WordPress Development,SUBHAG,Raipur,3 Months,"7,000 /month + Incentives"
Front End Development,Supervaisor.AI,Work from home,5 Months,"5,000 /month"
Backend Development,Supervaisor.AI,Work from home,3 Months,"7,000 /month"
Next.js Developer,APTAGRIM CONSULTING PRIVATE LIMITED,Hyderabad,6 Months,"15,000 /month"
Django Developer,APTAGRIM CONSULTING PRIVATE LIMITED,Hyderabad,6 Months,"15,000 /month"
QA Automation Engineer,APTAGRIM CONSULTING PRIVATE LIMITED,Hyderabad,6 Months,"15,000 /month"
DevOps Engineer,APTAGRIM CONSULTING PRIVATE LIMITED,Hyderabad,6 Months,"15,000 /month"
Mobile App Development,GenexCorp,Work from home,3 Months,"3,000-5,000 /month"
AI Engineer,APTAGRIM CONSULTING PRIVATE LIMITED,Hyderabad,6 Months,"15,000 /month"
Quality Analyst,House Of Marktech,Gurgaon (Hybrid),3 Months,"30,000 lump sum + Incentives"
Full Stack Development,House Of Marktech,Gurgaon (Hybrid),3 Months,"45,000 lump sum + Incentives"
Backend Development,House Of Marktech,Gurgaon (Hybrid),3 Months,"30,000 lump sum + Incentives"
Front End Development,House Of Marktech,Gurgaon (Hybrid),3 Months,"30,000 lump sum + Incentives"
AI Image Generation,PerfmanHR,Mumbai,6 Months,"5,000-15,000 /month"
Cloud Computing,S1 SHIPLEE (OPC) PRIVATE LIMITED,Work from home,3 Months,"4,000 /month"
